"NAME","BFS_NUMMER","KANTONSNUM","canton","abrCanton","pays","adresse","latitude","longitude"
"Aeugst am Albis",1,1,"Zurich","ZH","Switzerland","Aeugst am Albis, ZH, Switzerland",47.26768,8.48547000000002
"Affoltern am Albis",2,1,"Zurich","ZH","Switzerland","Affoltern am Albis, ZH, Switzerland",47.2772200000001,8.45328000000006
"Bonstetten",3,1,"Zurich","ZH","Switzerland","Bonstetten, ZH, Switzerland",47.3151100000001,8.46813000000003
"Hausen am Albis",4,1,"Zurich","ZH","Switzerland","Hausen am Albis, ZH, Switzerland",47.24037,8.53639000000004
"Hedingen",5,1,"Zurich","ZH","Switzerland","Hedingen, ZH, Switzerland",47.2968100000001,8.44858000000005
"Kappel am Albis",6,1,"Zurich","ZH","Switzerland","Kappel am Albis, ZH, Switzerland",47.2279300000001,8.52683000000007
"Knonau",7,1,"Zurich","ZH","Switzerland","Knonau, ZH, Switzerland",47.22427,8.46003000000007
"Maschwanden",8,1,"Zurich","ZH","Switzerland","Maschwanden, ZH, Switzerland",47.23499,8.42580000000004
"Mettmenstetten",9,1,"Zurich","ZH","Switzerland","Mettmenstetten, ZH, Switzerland",47.2436300000001,8.46296000000007
"Obfelden",10,1,"Zurich","ZH","Switzerland","Obfelden, ZH, Switzerland",47.2633000000001,8.42631000000006
"Ottenbach",11,1,"Zurich","ZH","Switzerland","Ottenbach, ZH, Switzerland",47.28209,8.40376000000003
"Rifferswil",12,1,"Zurich","ZH","Switzerland","Rifferswil, ZH, Switzerland",47.24229,8.49593000000004
"Stallikon",13,1,"Zurich","ZH","Switzerland","Stallikon, ZH, Switzerland",47.3257400000001,8.48998000000006
"Wettswil am Albis",14,1,"Zurich","ZH","Switzerland","Wettswil am Albis, ZH, Switzerland",47.3417200000001,8.47056000000003
"Benken (ZH)",22,1,"Zurich","ZH","Switzerland","Benken (ZH), ZH, Switzerland",47.65405,8.65133000000003
"Berg am Irchel",23,1,"Zurich","ZH","Switzerland","Berg am Irchel, ZH, Switzerland",47.5696300000001,8.59702000000004
"Buch am Irchel",24,1,"Zurich","ZH","Switzerland","Buch am Irchel, ZH, Switzerland",47.54801,8.62303000000003
"Dachsen",25,1,"Zurich","ZH","Switzerland","Dachsen, ZH, Switzerland",47.6655500000001,8.61673000000008
"Dorf",26,1,"Zurich","ZH","Switzerland","Dorf, ZH, Switzerland",47.5729000000001,8.64740000000006
"Feuerthalen",27,1,"Zurich","ZH","Switzerland","Feuerthalen, ZH, Switzerland",47.6930400000001,8.64345000000003
"Flaach",28,1,"Zurich","ZH","Switzerland","Flaach, ZH, Switzerland",47.5752900000001,8.60802000000007
"Flurlingen",29,1,"Zurich","ZH","Switzerland","Flurlingen, ZH, Switzerland",47.6841400000001,8.62824000000006
"Henggart",31,1,"Zurich","ZH","Switzerland","Henggart, ZH, Switzerland",47.56402,8.68441000000007
"Kleinandelfingen",33,1,"Zurich","ZH","Switzerland","Kleinandelfingen, ZH, Switzerland",47.5995800000001,8.68312000000003
"Laufen-Uhwiesen",34,1,"Zurich","ZH","Switzerland","Laufen-Uhwiesen, ZH, Switzerland",47.67258,8.62776000000002
"Marthalen",35,1,"Zurich","ZH","Switzerland","Marthalen, ZH, Switzerland",47.62586,8.64946000000003
"Ossingen",37,1,"Zurich","ZH","Switzerland","Ossingen, ZH, Switzerland",47.61195,8.72627000000006
"Rheinau",38,1,"Zurich","ZH","Switzerland","Rheinau, ZH, Switzerland",47.64446,8.60464000000007
"Thalheim an der Thur",39,1,"Zurich","ZH","Switzerland","Thalheim an der Thur, ZH, Switzerland",47.57811,8.75460000000004
"Trüllikon",40,1,"Zurich","ZH","Switzerland","Trüllikon, ZH, Switzerland",47.6379900000001,8.69256000000007
"Truttikon",41,1,"Zurich","ZH","Switzerland","Truttikon, ZH, Switzerland",47.6288900000001,8.72745000000003
"Volken",43,1,"Zurich","ZH","Switzerland","Volken, ZH, Switzerland",47.5741600000001,8.62433000000004
"Bachenbülach",51,1,"Zurich","ZH","Switzerland","Bachenbülach, ZH, Switzerland",47.50273,8.54821000000004
"Bassersdorf",52,1,"Zurich","ZH","Switzerland","Bassersdorf, ZH, Switzerland",47.4431000000001,8.62883000000005
"Bülach",53,1,"Zurich","ZH","Switzerland","Bülach, ZH, Switzerland",47.512622843,8.56483461600004
"Dietlikon",54,1,"Zurich","ZH","Switzerland","Dietlikon, ZH, Switzerland",47.4231600000001,8.61811000000006
"Eglisau",55,1,"Zurich","ZH","Switzerland","Eglisau, ZH, Switzerland",47.5763700000001,8.52138000000002
"Embrach",56,1,"Zurich","ZH","Switzerland","Embrach, ZH, Switzerland",47.5067900000001,8.59359000000006
"Freienstein-Teufen",57,1,"Zurich","ZH","Switzerland","Freienstein-Teufen, ZH, Switzerland",47.5353500000001,8.58135000000004
"Glattfelden",58,1,"Zurich","ZH","Switzerland","Glattfelden, ZH, Switzerland",47.55888,8.50239000000005
"Hochfelden",59,1,"Zurich","ZH","Switzerland","Hochfelden, ZH, Switzerland",47.5234100000001,8.51580000000007
"Höri",60,1,"Zurich","ZH","Switzerland","Höri, ZH, Switzerland",47.50809,8.50995000000006
"Hüntwangen",61,1,"Zurich","ZH","Switzerland","Hüntwangen, ZH, Switzerland",47.5957900000001,8.49102000000005
"Kloten",62,1,"Zurich","ZH","Switzerland","Kloten, ZH, Switzerland",47.4525400000001,8.58055000000007
"Lufingen",63,1,"Zurich","ZH","Switzerland","Lufingen, ZH, Switzerland",47.4892800000001,8.59404000000006
"Nürensdorf",64,1,"Zurich","ZH","Switzerland","Nürensdorf, ZH, Switzerland",47.44708,8.64906000000008
"Oberembrach",65,1,"Zurich","ZH","Switzerland","Oberembrach, ZH, Switzerland",47.4878,8.61817000000002
"Opfikon",66,1,"Zurich","ZH","Switzerland","Opfikon, ZH, Switzerland",47.42954,8.57398000000006
"Rafz",67,1,"Zurich","ZH","Switzerland","Rafz, ZH, Switzerland",47.61089,8.53929000000005
"Rorbas",68,1,"Zurich","ZH","Switzerland","Rorbas, ZH, Switzerland",47.5298300000001,8.57915000000003
"Wallisellen",69,1,"Zurich","ZH","Switzerland","Wallisellen, ZH, Switzerland",47.4130500000001,8.59341000000006
"Wasterkingen",70,1,"Zurich","ZH","Switzerland","Wasterkingen, ZH, Switzerland",47.5879,8.47533000000004
"Wil (ZH)",71,1,"Zurich","ZH","Switzerland","Wil (ZH), ZH, Switzerland",47.60616,8.50147000000004
"Winkel",72,1,"Zurich","ZH","Switzerland","Winkel, ZH, Switzerland",47.4926300000001,8.55237000000005
"Bachs",81,1,"Zurich","ZH","Switzerland","Bachs, ZH, Switzerland",47.5262300000001,8.44171000000006
"Boppelsen",82,1,"Zurich","ZH","Switzerland","Boppelsen, ZH, Switzerland",47.4694400000001,8.40050000000002
"Buchs (ZH)",83,1,"Zurich","ZH","Switzerland","Buchs (ZH), ZH, Switzerland",47.45894,8.43976000000004
"Dällikon",84,1,"Zurich","ZH","Switzerland","Dällikon, ZH, Switzerland",47.43971,8.43998000000005
"Dänikon",85,1,"Zurich","ZH","Switzerland","Dänikon, ZH, Switzerland",47.44577,8.40970000000004
"Dielsdorf",86,1,"Zurich","ZH","Switzerland","Dielsdorf, ZH, Switzerland",47.48259893404115,8.45882818139041
"Hüttikon",87,1,"Zurich","ZH","Switzerland","Hüttikon, ZH, Switzerland",47.44606,8.38714000000004
"Neerach",88,1,"Zurich","ZH","Switzerland","Neerach, ZH, Switzerland",47.51277,8.47240000000005
"Niederglatt",89,1,"Zurich","ZH","Switzerland","Niederglatt, ZH, Switzerland",47.49442,8.50150000000002
"Niederhasli",90,1,"Zurich","ZH","Switzerland","Niederhasli, ZH, Switzerland",47.48123,8.48396000000002
"Niederweningen",91,1,"Zurich","ZH","Switzerland","Niederweningen, ZH, Switzerland",47.5043700000001,8.37668000000002
"Oberglatt",92,1,"Zurich","ZH","Switzerland","Oberglatt, ZH, Switzerland",47.47662,8.51939000000004
"Oberweningen",93,1,"Zurich","ZH","Switzerland","Oberweningen, ZH, Switzerland",47.5008800000001,8.40530000000007
"Otelfingen",94,1,"Zurich","ZH","Switzerland","Otelfingen, ZH, Switzerland",47.4604100000001,8.39008000000007
"Regensberg",95,1,"Zurich","ZH","Switzerland","Regensberg, ZH, Switzerland",47.4822100000001,8.43648000000007
"Regensdorf",96,1,"Zurich","ZH","Switzerland","Regensdorf, ZH, Switzerland",47.4309900000001,8.46605000000005
"Rümlang",97,1,"Zurich","ZH","Switzerland","Rümlang, ZH, Switzerland",47.4530100000001,8.53007000000002
"Schleinikon",98,1,"Zurich","ZH","Switzerland","Schleinikon, ZH, Switzerland",47.4967500000001,8.39732000000004
"Schöfflisdorf",99,1,"Zurich","ZH","Switzerland","Schöfflisdorf, ZH, Switzerland",47.49976,8.41624000000007
"Stadel",100,1,"Zurich","ZH","Switzerland","Stadel, ZH, Switzerland",47.52802,8.46719000000007
"Steinmaur",101,1,"Zurich","ZH","Switzerland","Steinmaur, ZH, Switzerland",47.4947300000001,8.45031000000006
"Weiach",102,1,"Zurich","ZH","Switzerland","Weiach, ZH, Switzerland",47.5583100000001,8.43581000000006
"Bäretswil",111,1,"Zurich","ZH","Switzerland","Bäretswil, ZH, Switzerland",47.33586,8.85666000000003
"Bubikon",112,1,"Zurich","ZH","Switzerland","Bubikon, ZH, Switzerland",47.2684800000001,8.81888000000004
"Dürnten",113,1,"Zurich","ZH","Switzerland","Dürnten, ZH, Switzerland",47.2776500000001,8.84240000000005
"Fischenthal",114,1,"Zurich","ZH","Switzerland","Fischenthal, ZH, Switzerland",47.333,8.92230000000006
"Gossau (ZH)",115,1,"Zurich","ZH","Switzerland","Gossau (ZH), ZH, Switzerland",47.30749,8.76098000000007
"Grüningen",116,1,"Zurich","ZH","Switzerland","Grüningen, ZH, Switzerland",47.2843700000001,8.76362000000006
"Hinwil",117,1,"Zurich","ZH","Switzerland","Hinwil, ZH, Switzerland",47.305731833,8.85828981900005
"Rüti (ZH)",118,1,"Zurich","ZH","Switzerland","Rüti (ZH), ZH, Switzerland",47.25908,8.84993000000003
"Seegräben",119,1,"Zurich","ZH","Switzerland","Seegräben, ZH, Switzerland",47.3434700000001,8.76950000000005
"Wald (ZH)",120,1,"Zurich","ZH","Switzerland","Wald (ZH), ZH, Switzerland",47.27437,8.91349000000002
"Wetzikon (ZH)",121,1,"Zurich","ZH","Switzerland","Wetzikon (ZH), ZH, Switzerland",47.3250600000001,8.79846000000003
"Adliswil",131,1,"Zurich","ZH","Switzerland","Adliswil, ZH, Switzerland",47.3116200000001,8.52554000000003
"Kilchberg (ZH)",135,1,"Zurich","ZH","Switzerland","Kilchberg (ZH), ZH, Switzerland",47.32165,8.54521000000005
"Langnau am Albis",136,1,"Zurich","ZH","Switzerland","Langnau am Albis, ZH, Switzerland",47.2886500000001,8.53961000000004
"Oberrieden",137,1,"Zurich","ZH","Switzerland","Oberrieden, ZH, Switzerland",47.27833,8.57563000000005
"Richterswil",138,1,"Zurich","ZH","Switzerland","Richterswil, ZH, Switzerland",47.2074900000001,8.70512000000002
"Rüschlikon",139,1,"Zurich","ZH","Switzerland","Rüschlikon, ZH, Switzerland",47.3072900000001,8.55534000000006
"Thalwil",141,1,"Zurich","ZH","Switzerland","Thalwil, ZH, Switzerland",47.2947300000001,8.56470000000007
"Erlenbach (ZH)",151,1,"Zurich","ZH","Switzerland","Erlenbach (ZH), ZH, Switzerland",47.3049500000001,8.59136000000007
"Herrliberg",152,1,"Zurich","ZH","Switzerland","Herrliberg, ZH, Switzerland",47.28619,8.61353000000003
"Hombrechtikon",153,1,"Zurich","ZH","Switzerland","Hombrechtikon, ZH, Switzerland",47.25053,8.76694000000003
"Küsnacht (ZH)",154,1,"Zurich","ZH","Switzerland","Küsnacht (ZH), ZH, Switzerland",47.3188900000001,8.58014000000003
"Männedorf",155,1,"Zurich","ZH","Switzerland","Männedorf, ZH, Switzerland",47.2539400000001,8.69051000000007
"Meilen",156,1,"Zurich","ZH","Switzerland","Meilen, ZH, Switzerland",47.2793703630001,8.67343735600002
"Oetwil am See",157,1,"Zurich","ZH","Switzerland","Oetwil am See, ZH, Switzerland",47.2700400000001,8.72146000000004
"Stäfa",158,1,"Zurich","ZH","Switzerland","Stäfa, ZH, Switzerland",47.24147,8.72297000000003
"Uetikon am See",159,1,"Zurich","ZH","Switzerland","Uetikon am See, ZH, Switzerland",47.26635,8.67627000000005
"Zumikon",160,1,"Zurich","ZH","Switzerland","Zumikon, ZH, Switzerland",47.3302400000001,8.62597000000005
"Zollikon",161,1,"Zurich","ZH","Switzerland","Zollikon, ZH, Switzerland",47.34043,8.57386000000002
"Fehraltorf",172,1,"Zurich","ZH","Switzerland","Fehraltorf, ZH, Switzerland",47.3880600000001,8.75191000000007
"Hittnau",173,1,"Zurich","ZH","Switzerland","Hittnau, ZH, Switzerland",47.36938,8.82286000000005
"Lindau",176,1,"Zurich","ZH","Switzerland","Lindau, ZH, Switzerland",47.4414200000001,8.67146000000002
"Pfäffikon",177,1,"Zurich","ZH","Switzerland","Pfäffikon, ZH, Switzerland",47.36733,8.78495
"Russikon",178,1,"Zurich","ZH","Switzerland","Russikon, ZH, Switzerland",47.39387,8.77600000000007
"Weisslingen",180,1,"Zurich","ZH","Switzerland","Weisslingen, ZH, Switzerland",47.43152,8.76371000000006
"Wila",181,1,"Zurich","ZH","Switzerland","Wila, ZH, Switzerland",47.4196000000001,8.84602000000007
"Wildberg",182,1,"Zurich","ZH","Switzerland","Wildberg, ZH, Switzerland",47.4283,8.81712000000005
"Dübendorf",191,1,"Zurich","ZH","Switzerland","Dübendorf, ZH, Switzerland",47.3997800000001,8.62222000000003
"Egg",192,1,"Zurich","ZH","Switzerland","Egg, ZH, Switzerland",47.30089,8.68991000000005
"Fällanden",193,1,"Zurich","ZH","Switzerland","Fällanden, ZH, Switzerland",47.3715800000001,8.63991000000004
"Greifensee",194,1,"Zurich","ZH","Switzerland","Greifensee, ZH, Switzerland",47.3652300000001,8.67752000000007
"Maur",195,1,"Zurich","ZH","Switzerland","Maur, ZH, Switzerland",47.3403200000001,8.66749000000004
"Mönchaltorf",196,1,"Zurich","ZH","Switzerland","Mönchaltorf, ZH, Switzerland",47.3104000000001,8.72122000000007
"Schwerzenbach",197,1,"Zurich","ZH","Switzerland","Schwerzenbach, ZH, Switzerland",47.3825400000001,8.65763000000004
"Uster",198,1,"Zurich","ZH","Switzerland","Uster, ZH, Switzerland",47.3495100000001,8.71519000000006
"Volketswil",199,1,"Zurich","ZH","Switzerland","Volketswil, ZH, Switzerland",47.38964,8.68984000000006
"Wangen-Brüttisellen",200,1,"Zurich","ZH","Switzerland","Wangen-Brüttisellen, ZH, Switzerland",47.42398,8.63098000000002
"Altikon",211,1,"Zurich","ZH","Switzerland","Altikon, ZH, Switzerland",47.5733200000001,8.78115000000003
"Brütten",213,1,"Zurich","ZH","Switzerland","Brütten, ZH, Switzerland",47.4718,8.67396000000002
"Dägerlen",214,1,"Zurich","ZH","Switzerland","Dägerlen, ZH, Switzerland",47.5612300000001,8.72156000000007
"Dättlikon",215,1,"Zurich","ZH","Switzerland","Dättlikon, ZH, Switzerland",47.52509,8.62267000000003
"Dinhard",216,1,"Zurich","ZH","Switzerland","Dinhard, ZH, Switzerland",47.55506,8.77015000000006
"Ellikon an der Thur",218,1,"Zurich","ZH","Switzerland","Ellikon an der Thur, ZH, Switzerland",47.56253,8.82386000000002
"Elsau",219,1,"Zurich","ZH","Switzerland","Elsau, ZH, Switzerland",47.50534,8.80236000000002
