"no_mut","old_canton","old_no_district","old_no_muni","old_name_muni","new_canton","new_no_district","new_no_muni","new_name_muni","date"
"3582","ZH","106","132","Hirzel","ZH","106","295","Horgen","2018-01-01"
"3582","ZH","106","133","Horgen","ZH","106","295","Horgen","2018-01-01"
"3583","ZH","110","217","Elgg","ZH","110","294","Elgg","2018-01-01"
"3583","ZH","110","222","Hofstetten (ZH)","ZH","110","294","Elgg","2018-01-01"
"3584","BE","246","624","Schlosswil","BE","246","608","Grosshöchstetten","2018-01-01"
"3585","BE","246","865","Gelterfingen","BE","246","872","Kirchdorf (BE)","2018-01-01"
"3585","BE","246","875","Mühledorf (BE)","BE","246","872","Kirchdorf (BE)","2018-01-01"
"3585","BE","246","878","Noflen","BE","246","872","Kirchdorf (BE)","2018-01-01"
"3586","GR","1851","3503","Mutten","GR","1851","3668","Thusis","2018-01-01"
"3587","GR","1841","3521","Bergün/Bravuogn","GR","1841","3544","Bergün Filisur","2018-01-01"
"3587","GR","1841","3522","Filisur","GR","1841","3544","Bergün Filisur","2018-01-01"
"3588","GR","1850","3611","Andiast","GR","1850","3981","Breil/Brigels","2018-01-01"
"3588","GR","1850","3616","Waltensburg/Vuorz","GR","1850","3981","Breil/Brigels","2018-01-01"
"3589","AG","1904","4113","Scherz","AG","1904","4104","Lupfig","2018-01-01"
"3590","NE","2401","6402","Bevaix","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3590","NE","2401","6409","Fresens","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3590","NE","2401","6410","Gorgier","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3590","NE","2401","6411","Montalchez","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3590","NE","2401","6414","Saint-Aubin-Sauges","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3590","NE","2401","6415","Vaumarcus","NE","2400","6417","La Grande-Béroche","2018-01-01"
"3591","NE","2401","6404","Boudry","NE","2400","6404","Boudry","2018-01-01"
"3592","NE","2401","6407","Corcelles-Cormondrèche","NE","2400","6407","Corcelles-Cormondrèche","2018-01-01"
"3593","NE","2401","6408","Cortaillod","NE","2400","6408","Cortaillod","2018-01-01"
"3594","NE","2401","6412","Peseux","NE","2400","6412","Peseux","2018-01-01"
"3595","NE","2401","6413","Rochefort","NE","2400","6413","Rochefort","2018-01-01"
"3596","NE","2401","6416","Milvignes","NE","2400","6416","Milvignes","2018-01-01"
"3597","NE","2402","6421","La Chaux-de-Fonds","NE","2400","6421","La Chaux-de-Fonds","2018-01-01"
"3598","NE","2402","6422","Les Planchettes","NE","2400","6422","Les Planchettes","2018-01-01"
"3599","NE","2402","6423","La Sagne","NE","2400","6423","La Sagne","2018-01-01"
"3600","NE","2403","6431","Les Brenets","NE","2400","6431","Les Brenets","2018-01-01"
"3601","NE","2403","6432","La Brévine","NE","2400","6432","La Brévine","2018-01-01"
"3602","NE","2403","6433","Brot-Plamboz","NE","2400","6433","Brot-Plamboz","2018-01-01"
"3603","NE","2403","6434","Le Cerneux-Péquignot","NE","2400","6434","Le Cerneux-Péquignot","2018-01-01"
"3604","NE","2403","6435","La Chaux-du-Milieu","NE","2400","6435","La Chaux-du-Milieu","2018-01-01"
"3605","NE","2403","6436","Le Locle","NE","2400","6436","Le Locle","2018-01-01"
"3606","NE","2403","6437","Les Ponts-de-Martel","NE","2400","6437","Les Ponts-de-Martel","2018-01-01"
"3607","NE","2404","6451","Cornaux","NE","2400","6451","Cornaux","2018-01-01"
"3608","NE","2404","6452","Cressier (NE)","NE","2400","6452","Cressier (NE)","2018-01-01"
"3609","NE","2404","6453","Enges","NE","2400","6453","Enges","2018-01-01"
"3610","NE","2404","6454","Hauterive (NE)","NE","2400","6454","Hauterive (NE)","2018-01-01"
"3611","NE","2404","6455","Le Landeron","NE","2400","6455","Le Landeron","2018-01-01"
"3612","NE","2404","6456","Lignières","NE","2400","6456","Lignières","2018-01-01"
