"BFS_n","municipality","german","french","italian","other_lang","romansh"
1,"Aeugst am Albis",1470,14,9,50,1
2,"Affoltern am Albis",8511,81,514,1194,14
3,"Bonstetten",3527,36,73,246,11
4,"Hausen am Albis",2846,16,37,140,1
5,"Hedingen",2652,30,91,209,9
6,"Kappel am Albis",831,6,2,26,0
7,"Knonau",1343,8,38,56,0
8,"Maschwanden",541,2,3,7,0
9,"Mettmenstetten",3455,21,60,185,3
10,"Obfelden",3747,31,164,227,13
11,"Ottenbach",2025,18,37,80,4
12,"Rifferswil",696,5,3,9,1
13,"Stallikon",2372,50,26,156,4
14,"Wettswil am Albis",3471,54,51,201,7
22,"Benken (ZH)",660,10,4,30,0
23,"Berg am Irchel",546,2,3,21,1
24,"Buch am Irchel",716,1,0,11,0
25,"Dachsen",1458,10,24,39,2
26,"Dorf",566,2,1,24,0
27,"Feuerthalen",2710,11,90,160,2
28,"Flaach",1066,4,5,85,4
29,"Flurlingen",1177,8,11,51,1
31,"Henggart",1530,11,17,63,0
33,"Kleinandelfingen",1674,9,37,100,1
34,"Laufen-Uhwiesen",1328,6,5,29,1
35,"Marthalen",1724,11,10,51,7
37,"Ossingen",1205,4,6,54,3
38,"Rheinau",1501,13,13,117,1
39,"Thalheim an der Thur",593,2,1,41,0
40,"Trüllikon",936,1,7,45,0
41,"Truttikon",417,0,2,15,1
43,"Volken",251,0,1,16,0
51,"Bachenbülach",2429,53,147,449,5
52,"Bassersdorf",6449,96,287,674,9
53,"Bülach",11746,155,652,1426,20
54,"Dietlikon",5259,102,326,574,20
55,"Eglisau",2613,30,86,159,5
56,"Embrach",6455,95,241,928,25
57,"Freienstein-Teufen",1934,17,47,127,2
58,"Glattfelden",3064,20,132,321,7
59,"Hochfelden",1393,24,38,123,1
60,"Höri",1761,14,216,308,1
61,"Hüntwangen",757,4,6,15,0
62,"Kloten",13540,371,714,2517,48
63,"Lufingen",1042,15,21,94,0
64,"Nürensdorf",4056,55,100,260,4
65,"Oberembrach",941,10,7,32,0
66,"Opfikon",8743,218,660,2408,33
67,"Rafz",3094,18,86,193,4
68,"Rorbas",1917,29,62,185,8
69,"Wallisellen",9930,175,455,1345,34
70,"Wasterkingen",549,4,0,6,1
71,"Wil (ZH)",1258,7,9,43,0
72,"Winkel",3026,48,45,191,7
81,"Bachs",553,6,4,14,0
82,"Boppelsen",939,7,3,62,7
83,"Buchs (ZH)",3706,43,113,311,9
84,"Dällikon",2731,32,129,367,2
85,"Dänikon",1529,12,46,161,1
86,"Dielsdorf",4110,65,197,502,8
87,"Hüttikon",476,3,4,50,0
88,"Neerach",2199,39,21,103,4
89,"Niederglatt",3285,35,177,234,6
90,"Niederhasli",6368,96,354,766,5
91,"Niederweningen",2016,28,37,134,5
92,"Oberglatt",4025,58,272,751,14
93,"Oberweningen",1188,10,22,68,2
94,"Otelfingen",1698,20,56,77,1
