"BFS_n","t1","t2","t3","t4","t5","t6"
1,730,1536,1363,1186,1324,1174
2,339,795,1145,836,972,811
3,526,662,765,876,805,938
4,1518,923,1465,1919,1967,1009
5,801,703,839,942,1115,942
6,794,907,1416,1363,1010,1865
7,743,544,716,824,841,1630
8,785,1012,1002,1174,1175,1238
9,422,681,880,853,1228,878
10,313,711,766,683,807,833
11,689,1142,1183,1286,1618,1087
12,967,819,1073,1272,1625,1855
13,764,950,990,1123,1183,900
14,577,713,722,803,763,996
22,157,187,352,465,505,463
23,1626,1701,1348,1223,1831,1260
24,937,1110,1092,2402,1513,1291
25,359,509,549,553,512,672
26,652,497,803,854,939,1222
27,308,347,466,491,487,578
28,1104,979,1016,1659,1129,1734
29,313,284,453,442,467,554
31,95,312,493,846,563,544
33,202,389,315,521,497,461
34,90,240,280,331,293,403
35,331,363,514,554,702,558
37,307,420,547,679,602,566
38,740,708,935,1048,1088,984
39,697,893,1272,965,1085,1255
40,279,571,541,531,637,627
41,680,625,957,927,865,997
43,880,725,1031,1082,1264,1167
51,338,570,412,501,625,818
52,756,790,1105,979,953,1065
53,855,920,845,824,1142,1088
54,316,304,462,731,779,797
55,481,632,556,686,625,685
56,1131,1146,1078,1050,1071,1350
57,879,1009,948,1008,804,1234
58,182,394,516,646,585,645
59,409,614,545,436,823,663
60,542,337,364,473,792,770
61,1098,947,1022,1152,1091,1151
62,371,245,332,219,331,754
63,597,869,829,743,873,1031
64,904,1090,1124,1066,1296,1161
65,965,1080,954,1322,1139,1277
66,60,337,712,355,164,399
67,1166,1317,1241,1940,1972,2167
68,789,924,858,918,714,1144
69,415,634,753,613,574,676
70,1105,954,1029,1159,1098,1158
71,1270,1119,1194,1324,1263,1323
72,427,659,501,553,590,825
81,972,1464,1134,1259,1395,1286
82,1037,716,1019,1015,812,1474
83,1030,1296,1171,1175,1193,1260
84,997,1273,1289,1263,1598,1227
85,952,1046,1261,1315,940,1342
86,1373,1195,1168,1622,1356,1304
87,1016,707,801,695,1423,791
88,1073,868,895,1004,804,642
89,657,835,630,766,883,1085
90,1111,1289,1084,1512,1220,1337
91,1926,2022,2134,2046,2116,2112
92,599,831,673,886,1111,953
93,1859,2180,1955,2227,2289,1627
94,747,426,729,725,522,1257
95,1615,1611,1475,1741,1780,1633
96,938,672,1186,923,1052,902
97,956,849,822,889,944,723
98,1981,2077,2414,2349,2392,2135
99,1668,1627,1422,1989,1436,2036
100,624,1087,882,786,1018,909
101,1277,1072,1099,1208,1086,1668
102,290,420,729,859,798,858
111,1100,1165,1217,1349,1908,1264
112,319,346,212,394,334,510
113,198,436,273,351,378,505
114,1484,1636,1820,1735,2044,1688
115,635,589,654,905,801,1041
116,445,485,550,611,676,775
117,603,755,939,854,807,881
118,337,408,452,441,733,498
119,403,686,763,1197,1457,1549
