"BFS_n","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
1,730,1536,1363,1186,1324,1174,1202,1839,1403,1227
2,339,795,1145,836,972,811,939,1012,783,933
3,526,662,765,876,805,938,765,998,1097,1276
4,1518,923,1465,1919,1967,1009,1344,1112,1977,4350
5,801,703,839,942,1115,942,982,1274,1175,1171
6,794,907,1416,1363,1010,1865,1235,1772,1118,1868
7,743,544,716,824,841,1630,1920,1867,1329,1280
8,785,1012,1002,1174,1175,1238,1588,1279,1663,1415
9,422,681,880,853,1228,878,978,1055,1531,1478
10,313,711,766,683,807,833,1116,943,910,1242
11,689,1142,1183,1286,1618,1087,1319,1492,1059,1359
12,967,819,1073,1272,1625,1855,1802,1452,2304,1275
13,764,950,990,1123,1183,900,1003,1114,1335,1514
14,577,713,722,803,763,996,1148,1327,1198,1482
22,157,187,352,465,505,463,628,504,653,738
23,1626,1701,1348,1223,1831,1260,1770,1373,1830,1777
24,937,1110,1092,2402,1513,1291,2498,2423,2483,2345
25,359,509,549,553,512,672,697,784,827,782
26,652,497,803,854,939,1222,1036,1000,2215,2140
27,308,347,466,491,487,578,576,621,618,580
28,1104,979,1016,1659,1129,1734,1344,1275,1864,1421
29,313,284,453,442,467,554,584,552,597,546
31,95,312,493,846,563,544,632,831,726,714
33,202,389,315,521,497,461,1171,618,888,731
34,90,240,280,331,293,403,428,515,513,558
35,331,363,514,554,702,558,671,834,711,834
37,307,420,547,679,602,566,1115,1329,723,1488
38,740,708,935,1048,1088,984,1211,1025,1236,1323
39,697,893,1272,965,1085,1255,1182,1078,1203,1270
40,279,571,541,531,637,627,740,780,769,903
41,680,625,957,927,865,997,1141,1028,1181,1304
43,880,725,1031,1082,1264,1167,1228,1991,1916,1450
51,338,570,412,501,625,818,692,820,666,1201
52,756,790,1105,979,953,1065,1068,948,1059,906
53,855,920,845,824,1142,1088,1335,1209,1183,1239
54,316,304,462,731,779,797,606,420,539,944
55,481,632,556,686,625,685,2286,2028,2060,2161
56,1131,1146,1078,1050,1071,1350,1224,1305,1198,1083
57,879,1009,948,1008,804,1234,1585,955,1673,1820
58,182,394,516,646,585,645,871,1064,938,2192
59,409,614,545,436,823,663,662,855,729,703
60,542,337,364,473,792,770,590,783,657,631
61,1098,947,1022,1152,1091,1151,2424,2197,2229,2537
62,371,245,332,219,331,754,731,508,441,550
63,597,869,829,743,873,1031,717,962,829,1252
64,904,1090,1124,1066,1296,1161,1240,1170,928,1282
65,965,1080,954,1322,1139,1277,1197,928,1040,1241
66,60,337,712,355,164,399,466,286,625,689
67,1166,1317,1241,1940,1972,2167,1371,2280,1310,2216
68,789,924,858,918,714,1144,1583,1337,865,1750
69,415,634,753,613,574,676,839,841,694,503
70,1105,954,1029,1159,1098,1158,2490,2263,2295,2521
71,1270,1119,1194,1324,1263,1323,2275,2048,2080,2388
72,427,659,501,553,590,825,699,673,1208,785
81,972,1464,1134,1259,1395,1286,2421,1855,2742,2418
82,1037,716,1019,1015,812,1474,1740,1208,1176,1150
83,1030,1296,1171,1175,1193,1260,1565,1228,872,1281
84,997,1273,1289,1263,1598,1227,1195,1511,1248,1377
85,952,1046,1261,1315,940,1342,1310,1581,1036,1648
86,1373,1195,1168,1622,1356,1304,1632,1570,1894,1358
87,1016,707,801,695,1423,791,1097,1065,1129,1556
88,1073,868,895,1004,804,642,1121,1464,1314,1188
89,657,835,630,766,883,1085,1076,950,1226,1459
90,1111,1289,1084,1512,1220,1337,1365,1404,1580,1378
91,1926,2022,2134,2046,2116,2112,2084,1843,2432,2237
92,599,831,673,886,1111,953,1245,927,1012,762
93,1859,2180,1955,2227,2289,1627,1818,1613,1640,2013
94,747,426,729,725,522,1257,918,886,860,1523
95,1615,1611,1475,1741,1780,1633,1602,1575,1312,1711
96,938,672,1186,923,1052,902,948,870,886,674
97,956,849,822,889,944,723,933,1181,841,1067
98,1981,2077,2414,2349,2392,2135,1749,2326,1940,1735
99,1668,1627,1422,1989,1436,2036,2098,1449,1764,1558
100,624,1087,882,786,1018,909,1135,1478,1328,1202
101,1277,1072,1099,1208,1086,1668,1248,1732,1946,2008
102,290,420,729,859,798,858,1983,2015,1084,2304
111,1100,1165,1217,1349,1908,1264,2183,1291,1356,2260
112,319,346,212,394,334,510,622,794,1866,809
113,198,436,273,351,378,505,666,644,1112,1910
114,1484,1636,1820,1735,2044,1688,1762,2256,2582,2050
115,635,589,654,905,801,1041,1188,866,1033,1050
116,445,485,550,611,676,775,860,937,802,1458
117,603,755,939,854,807,881,1169,946,1833,1615
118,337,408,452,441,733,498,730,1350,1179,1954
119,403,686,763,1197,1457,1549,1758,821,631,1549
120,1103,1214,984,1315,746,899,926,1177,1576,1053
121,910,928,872,993,1092,1147,1107,1667,1092,1224
131,918,491,784,1104,977,2968,1270,3015,995,1098
135,820,530,686,879,2887,1006,1569,1454,3088,1835
136,883,1255,1121,1268,3315,1215,1774,3424,1324,3443
137,788,1088,1144,1173,3223,1646,3351,2709,3454,1039
138,495,601,937,611,748,760,747,972,2724,2115
139,401,786,652,2836,845,2964,3037,3216,786,1535
141,580,965,3015,965,831,912,3143,2519,3246,1024
151,2613,948,1093,2440,1166,1199,2916,999,2863,1200
152,921,3363,789,3060,3310,862,998,1843,3400,1150
153,842,982,981,1116,1104,905,980,1270,1145,1747
154,2164,1019,1991,1191,2070,1264,1757,1538,1916,1271
155,1277,1152,2870,1664,2851,3019,3006,3192,2957,1527
156,1034,806,794,836,897,932,3056,2723,3205,984
157,411,536,923,626,915,786,738,1289,2742,821
158,2435,1074,2541,1199,2132,2454,2228,1273,1586,1503
159,1011,1410,1083,3345,1170,3494,3481,2412,1301,3326
160,71,259,332,362,363,2585,1824,1002,1964,514
161,1584,1663,801,1350,1757,1509,929,1244,1789,2140
172,796,925,922,785,961,983,1191,2002,2326,2254
173,1479,1515,1592,1746,1863,1452,1811,1296,2017,1628
176,522,990,839,873,955,735,956,1826,1100,1225
177,1035,1071,1148,1008,1687,1184,1570,1829,2390,1841
178,1217,1294,1264,1154,1330,1478,1560,1646,2260,1613
180,941,1292,1154,1525,1587,1499,1510,2301,1258,1380
181,2208,2172,2285,2260,2119,2399,2611,2131,2145,2473
182,2000,2045,2351,2122,2213,2092,1982,857,2158,2559
191,584,585,772,600,631,821,941,1385,869,1034
192,572,332,344,435,374,470,522,997,1668,533
193,1161,1174,1329,1330,1207,1094,1486,1499,1059,1050
194,806,629,787,682,1447,1412,818,1663,1340,1017
195,551,586,504,718,688,1610,1636,720,1416,1774
196,395,822,515,669,910,685,674,1475,1201,1270
197,759,772,1031,595,1084,1114,648,1381,1609,1440
198,548,784,648,644,1274,1346,1483,516,820,1372
199,504,389,327,380,619,672,767,560,702,1877
200,224,258,416,374,685,733,527,1223,751,493
211,844,1332,941,1029,937,1151,1085,1468,1336,1281
213,708,570,805,753,1160,1244,1122,745,1383,1477
214,258,513,1047,833,694,764,1206,1424,1303,1032
215,1130,1218,1355,1551,1484,1485,1456,852,1365,1710
216,1037,790,887,790,957,1212,986,1406,1390,1254
218,919,734,831,1224,729,977,1186,1043,1448,1692
219,542,536,1094,847,1311,1194,726,1369,897,870
220,706,1167,1196,869,982,1708,888,1141,1505,1461
221,585,982,792,840,768,1021,1060,945,943,1238
223,574,995,617,900,764,783,781,1789,943,996
224,703,1124,1029,912,1017,1164,1595,890,1708,1804
225,556,920,653,741,673,1028,869,2136,1144,1325
226,1479,1473,2031,1612,2062,2018,1784,1054,1658,1980
227,798,596,789,917,957,1057,1064,2500,940,1245
228,1763,1986,2354,2099,2754,2539,1945,1496,2567,2577
230,782,826,1240,1015,1026,1399,1071,2396,1285,1401
231,1826,2100,2421,1939,2643,2313,1944,664,2449,2578
241,249,584,404,736,633,595,704,785,786,1070
242,248,247,474,735,632,594,1069,914,914,703
243,516,572,582,586,1101,997,619,1169,1278,864
244,567,473,844,1023,863,831,868,1083,702,977
245,949,876,995,914,1082,1094,1132,652,1270,1378
246,257,351,807,973,647,615,486,1088,518,953
247,1223,756,617,652,690,769,793,1299,1356,959
248,592,1161,780,1320,1181,963,1020,960,1058,1490
249,637,846,947,884,808,770,1084,691,993,859
250,444,531,634,522,1065,1141,786,1404,801,915
251,694,989,964,783,898,1257,827,1251,1118,1270
261,326,326,606,1000,957,1338,1370,867,856,759
291,382,380,495,506,677,641,1150,2085,798,936
292,1256,1143,1383,2270,1438,1402,1515,2940,1980,1951
293,796,683,788,775,789,1270,2955,1542,3342,3334
294,950,950,1063,1248,1789,1397,1132,3100,1889,2006
295,112,168,670,456,468,3099,1448,893,2868,3069
296,296,729,613,735,1070,647,509,1893,730,946
297,1729,2385,1846,1794,2421,1978,2498,895,1920,1985
298,795,381,449,548,744,1012,566,1218,903,1019
301,365,372,641,596,631,651,852,1522,1496,1764
302,669,676,945,900,935,1222,1156,1278,955,1329
303,580,1063,1055,1293,1067,1402,1057,1087,1644,1502
304,791,1036,1043,898,1312,1267,1666,970,1302,1889
305,684,691,761,915,950,1171,1537,1203,1395,1611
306,368,488,617,360,616,837,646,1214,1061,1032
307,939,1587,1447,1397,1516,1403,1651,949,1248,1240
309,663,670,939,894,1683,1790,1878,970,929,1150
310,493,1141,693,802,794,935,980,1399,1376,1199
311,149,797,458,450,591,636,716,993,626,1449
312,734,727,993,1003,958,2065,1074,1517,1996,2200
321,1023,899,882,863,1052,1427,1307,2907,1374,1210
322,2337,3075,3486,3326,3362,3651,3345,1317,2821,2709
323,906,782,765,746,935,1093,1027,2385,1310,1190
324,2082,1922,1958,1941,2161,2095,2111,2525,2576,2472
325,2397,1782,2685,2561,2544,2229,2143,2576,2031,2300
326,2017,2830,3294,2988,2325,2464,2662,2107,3170,3134
329,1841,1717,1700,1681,1870,2235,1930,2511,2052,2081
331,2324,2200,2164,2183,2711,2410,2353,2794,2406,2583
332,2765,2605,2641,2154,2860,2624,2952,2574,2886,2692
333,1560,2251,2715,2083,1997,1885,2591,3481,2154,2555
335,2554,2500,3445,3605,2803,3093,3180,2861,3464,2987
