"BFS_n","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t_min"
1,730,1536,1363,1186,1324,1174,1202,1839,1403,1227,1786,1330,1596,2256,3587,1662,1310,2286,1841,1841,730
2,339,795,1145,836,972,811,939,1012,783,933,1271,1205,1448,1395,1450,1168,1130,1321,1605,1605,339
3,526,662,765,876,805,938,765,998,1097,1276,1147,1431,1688,994,956,1954,1426,2989,1529,1529,526
4,1518,923,1465,1919,1967,1009,1344,1112,1977,4350,1753,1941,2156,1220,4478,4551,4581,4582,2359,2359,923
5,801,703,839,942,1115,942,982,1274,1175,1171,1133,1453,1324,1608,1273,1865,1245,1395,1603,1603,703
6,794,907,1416,1363,1010,1865,1235,1772,1118,1868,1651,1691,4092,1908,4220,4293,4323,1366,4324,4324,794
7,743,544,716,824,841,1630,1920,1867,1329,1280,1457,2369,1089,1321,1497,1424,1102,1690,1756,1756,544
8,785,1012,1002,1174,1175,1238,1588,1279,1663,1415,1891,1838,1382,1455,1423,1714,2308,1436,1648,1648,785
9,422,681,880,853,1228,878,978,1055,1531,1478,919,1095,1948,1022,1466,1288,1354,3279,1226,1226,422
10,313,711,766,683,807,833,1116,943,910,1242,983,819,1176,1419,1366,1139,1101,1421,1292,1292,313
11,689,1142,1183,1286,1618,1087,1319,1492,1059,1359,1515,1477,1209,1552,1668,1952,1797,1195,1947,1947,689
12,967,819,1073,1272,1625,1855,1802,1452,2304,1275,1370,1492,1316,3676,1685,1419,3804,2090,1858,1858,819
13,764,950,990,1123,1183,900,1003,1114,1335,1514,1873,1385,1669,1194,1232,2139,1767,3174,1664,1664,764
14,577,713,722,803,763,996,1148,1327,1198,1482,1686,1007,1045,936,927,1477,1952,1580,1610,1610,577
22,157,187,352,465,505,463,628,504,653,738,740,783,610,742,968,1094,2573,1392,1089,1089,157
23,1626,1701,1348,1223,1831,1260,1770,1373,1830,1777,1588,1676,1519,1948,1676,2056,2002,1789,1885,1885,1223
24,937,1110,1092,2402,1513,1291,2498,2423,2483,2345,1342,1418,1301,2031,1524,1488,2496,1909,1299,1299,937
25,359,509,549,553,512,672,697,784,827,782,757,798,1012,904,1138,1036,1133,1136,2711,2711,359
26,652,497,803,854,939,1222,1036,1000,2215,2140,1207,1008,2345,1090,2284,1157,2344,1270,1381,1381,497
27,308,347,466,491,487,578,576,621,618,580,806,932,825,866,927,930,972,1104,3044,3044,308
28,1104,979,1016,1659,1129,1734,1344,1275,1864,1421,1803,1863,1704,1810,1432,1545,1689,1572,2089,2089,979
29,313,284,453,442,467,554,584,552,597,546,782,791,908,832,903,938,906,1070,2807,2807,284
31,95,312,493,846,563,544,632,831,726,714,1005,690,1102,1731,2486,1642,847,1598,1800,1800,95
33,202,389,315,521,497,461,1171,618,888,731,957,771,1330,894,1427,1156,919,1039,1004,1004,202
34,90,240,280,331,293,403,428,515,513,558,538,579,743,869,685,817,864,867,2772,2772,90
35,331,363,514,554,702,558,671,834,711,834,859,944,946,989,1484,2483,1201,1174,1300,1300,331
37,307,420,547,679,602,566,1115,1329,723,1488,836,1046,1585,876,1374,999,1024,1109,1111,1111,307
38,740,708,935,1048,1088,984,1211,1025,1236,1323,1131,1366,1321,1263,1802,1551,1953,1677,1877,1877,708
39,697,893,1272,965,1085,1255,1182,1078,1203,1270,1260,1471,1224,1414,1354,1381,1494,1537,1514,1514,697
40,279,571,541,531,637,627,740,780,769,903,928,1013,1015,1058,1369,1243,1419,1205,1136,1136,279
41,680,625,957,927,865,997,1141,1028,1181,1304,1329,1414,1433,1647,1945,1416,2042,1770,1459,1459,625
