"Canton (-) / District (>>) / Commune (......)","Date et objet","Bulletins valables","Oui","Oui en %"
"Suisse","2024-06-09 Loi fédérale relative à un approvisionnement en électricité sûr reposant sur des énergies renouvelables (modification de la loi sur l'énergie et de la loi sur l'approvisionnement en électricité)",2499418,1717607,68.72
"Suisse","2024-06-09 Initiative populaire «Pour la liberté et l'intégrité physique»",2493846,655106,26.27
"Suisse","2024-06-09 Initiative populaire « Pour des primes plus basses. Frein aux coûts dans le système de santé (initiative pour un frein aux coûts) »",2491155,927386,37.23
"Suisse","2024-06-09 Initiative populaire « Maximum 10% du revenu pour les primes d'assurance-maladie (initiative d'allègement des primes) »",2508740,1117095,44.53
"Suisse","2024-03-03 Initiative populaire «Pour une prévoyance vieillesse sûre et pérenne (initiative sur les rentes)»",3202508,808578,25.25
"Suisse","2024-03-03 Initiative populaire «Mieux vivre à la retraite (initiative pour une 13e rente AVS)»",3234621,1884096,58.25
"Suisse","2023-06-18 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l'épidémie de COVID-19 (Loi COVID-19)",2321994,1438216,61.94
"Suisse","2023-06-18 Loi fédérale sur les objectifs en matière de protection du climat, sur l'innovation et sur le renforcement de la sécurité énergétique (LCl)",2338051,1380974,59.07
"Suisse","2023-06-18 Arrêté fédéral sur une imposition particulière des grands groupes d'entreprises (Mise en oeuvre du projet conjoint de l'OCDE et du G20 sur l'imposition des grands groupes d'entreprises)",2298548,1803309,78.45
"Suisse","2022-09-25 Modification de la loi fédérale sur l'impôt anticipé (Renforcement du marché des capitaux de tiers)",2742687,1316230,47.99
"Suisse","2022-09-25 Modification de la loi fédérale sur l'assurance-vieillesse et survivants (AVS 21)",2853987,1442591,50.55
"Suisse","2022-09-25 Arrêté fédéral sur le financement additionnel de l'AVS par le biais d'un relèvement de la TVA",2852260,1570813,55.07
"Suisse","2022-09-25 Initiative populaire «Non à l'élevage intensif en Suisse (initiative sur l'élevage intensif)»",2861791,1062703,37.13
"Suisse","2022-05-15 Reprise du règlement de l'UE relatif au corps européen de garde-frontières et de garde-côtes (développement de l'acquis de Schengen)",2130678,1523005,71.48
"Suisse","2022-05-15 Modification de la loi fédérale sur la transplantation d'organes, de tissus et de cellules (Loi sur la transplantation)",2191395,1319276,60.20
