"geoLevelnummer","geoLevelname","geoLevelParentnummer","resultat.gebietAusgezaehlt","resultat.jaStimmenInProzent","resultat.jaStimmenAbsolut","resultat.neinStimmenAbsolut","resultat.stimmbeteiligungInProzent","resultat.eingelegteStimmzettel","resultat.anzahlStimmberechtigte","resultat.gueltigeStimmen"
1,"Aeugst am Albis","101",TRUE,38.327091136,307,494,58.430232558,804,1376,801
2,"Affoltern am Albis","101",TRUE,36.02917856,1136,2017,43.314191961,3168,7314,3153
3,"Bonstetten","101",TRUE,38.418651799,758,1215,54.28649685,1982,3651,1973
4,"Hausen am Albis","101",TRUE,40.334961619,578,855,54.669703872,1440,2634,1433
5,"Hedingen","101",TRUE,39.396067416,561,863,55.676941085,1427,2563,1424
6,"Kappel am Albis","101",TRUE,28.714859438,143,355,59.123222749,499,844,498
7,"Knonau","101",TRUE,37.43718593,298,498,52.984084881,799,1508,796
8,"Maschwanden","101",TRUE,35.042735043,82,152,53.758542141,236,439,234
9,"Mettmenstetten","101",TRUE,34.739941119,708,1330,54.887218045,2044,3724,2038
10,"Obfelden","101",TRUE,33.083645443,530,1072,44.426094137,1614,3633,1602
11,"Ottenbach","101",TRUE,34.774255524,362,679,52.45490982,1047,1996,1041
12,"Rifferswil","101",TRUE,47.683397683,247,271,65.82278481,520,790,518
13,"Stallikon","101",TRUE,36.031746032,454,806,52.446102819,1265,2412,1260
14,"Wettswil am Albis","101",TRUE,34.957173448,653,1215,54.121037464,1878,3470,1868
22,"Benken (ZH)","102",TRUE,18.823529412,64,276,56.105610561,340,606,340
23,"Berg am Irchel","102",TRUE,26.148409894,74,209,63.169642857,283,448,283
24,"Buch am Irchel","102",TRUE,22.737819026,98,333,57.852348993,431,745,431
25,"Dachsen","102",TRUE,38.552437223,261,416,50.03646973,686,1371,677
26,"Dorf","102",TRUE,21.708185053,61,220,53.20754717,282,530,281
27,"Feuerthalen","102",TRUE,36.847195358,381,653,44.914529915,1051,2340,1034
28,"Flaach","102",TRUE,20.862068966,121,459,58.728557013,582,991,580
29,"Flurlingen","102",TRUE,41.851851852,226,314,52.906976744,546,1032,540
31,"Henggart","102",TRUE,29.812981298,271,638,54.681872749,911,1666,909
33,"Kleinandelfingen","102",TRUE,28.950542823,240,589,54.947229551,833,1516,829
34,"Laufen-Uhwiesen","102",TRUE,32.531824611,230,477,54.826254826,710,1295,707
35,"Marthalen","102",TRUE,27.527405603,226,595,58.605974395,824,1406,821
37,"Ossingen","102",TRUE,30.995792426,221,492,56.137607506,718,1279,713
38,"Rheinau","102",TRUE,36.697247706,160,276,50.574712644,440,870,436
39,"Thalheim an der Thur","102",TRUE,25.837320574,108,310,57.417582418,418,728,418
40,"Trüllikon","102",TRUE,27.578475336,123,323,55.147058824,450,816,446
41,"Truttikon","102",TRUE,24.890829694,57,172,66.096866097,232,351,229
43,"Volken","102",TRUE,27.210884354,40,107,56.106870229,147,262,147
51,"Bachenbülach","103",TRUE,34.26183844,369,708,42.415949961,1085,2558,1077
52,"Bassersdorf","103",TRUE,32.002752925,930,1976,40.872239307,2924,7154,2906
53,"Bülach","103",TRUE,34.872172154,1896,3541,40.176535491,5462,13595,5437
54,"Dietlikon","103",TRUE,36.06870229,756,1340,43.446001649,2108,4852,2096
55,"Eglisau","103",TRUE,36.19776339,615,1084,50.176782557,1703,3394,1699
56,"Embrach","103",TRUE,28.777627424,638,1579,38.820254046,2231,5747,2217
57,"Freienstein-Teufen","103",TRUE,28.058361392,250,641,55.144793592,895,1623,891
58,"Glattfelden","103",TRUE,26.506899056,365,1012,42.928039702,1384,3224,1377
59,"Hochfelden","103",TRUE,30.04552352,198,461,49.073387695,662,1349,659
60,"Höri","103",TRUE,22.003284072,134,475,35.610040864,610,1713,609
61,"Hüntwangen","103",TRUE,30.75,123,277,52.145643693,401,769,400
62,"Kloten","103",TRUE,34.775280899,1238,2322,32.170786517,3579,11125,3560
63,"Lufingen","103",TRUE,27.985524729,232,597,47.728579643,830,1739,829
64,"Nürensdorf","103",TRUE,23.868954758,459,1464,48.592964824,1934,3980,1923
65,"Oberembrach","103",TRUE,20.444444444,92,358,55.418719212,450,812,450
66,"Opfikon","103",TRUE,33.855464578,951,1858,30.758381252,2835,9217,2809
67,"Rafz","103",TRUE,32.50327654,496,1030,51.732256979,1538,2973,1526
68,"Rorbas","103",TRUE,29.815745394,178,419,35.231943629,600,1703,597
69,"Wallisellen","103",TRUE,35.573811302,1429,2588,41.850129199,4049,9675,4017
70,"Wasterkingen","103",TRUE,22.857142857,48,162,49.530516432,211,426,210
71,"Wil (ZH)","103",TRUE,27.882960413,162,419,55.629139073,588,1057,581
