BFS;NAME;PLR;Centre;PS;UDC;PL;PEV;PCS;PVL;PST;Sol.;AVF;Verts;DS;UDF;Lega;MCR;PDC;PBD;AdI;POCH;Rép.;PSA;PSL;Sép.;Autres
1;Aeugst am Albis;3692;1685;3938;9928;;1115;;4206;56;;77;2290;98;679;;;;;;;;;;;1230
2;Affoltern am Albis;13224;9725;18135;37117;;6944;;14368;72;;367;9327;218;1351;;;;;;;;;;;4442
3;Bonstetten;9927;5074;12597;19963;;2649;;11173;176;;340;5614;88;861;;;;;;;;;;;2489
4;Hausen am Albis;5075;3417;8729;16760;;1430;;5942;116;;194;4907;8;647;;;;;;;;;;;1876
5;Hedingen;7646;3427;8198;16474;;1548;;8426;87;;21;3875;39;1048;;;;;;;;;;;1864
6;Kappel am Albis;1179;1175;1435;7238;;647;;1893;39;;50;915;2;143;;;;;;;;;;;453
7;Knonau;2398;3129;4286;8807;;1221;;4026;9;;42;1959;61;546;;;;;;;;;;;1308
8;Maschwanden;264;676;1546;3043;;331;;1047;3;;4;650;2;134;;;;;;;;;;;660
9;Mettmenstetten;7552;5235;11290;25001;;2481;;10312;94;;116;5565;192;1449;;;;;;;;;;;2934
10;Obfelden;5077;5578;8562;21085;;2172;;6854;18;;45;3848;4;1031;;;;;;;;;;;1864
11;Ottenbach;3871;2773;4904;12704;;1422;;5760;44;;90;2707;46;581;;;;;;;;;;;1522
12;Rifferswil;1535;817;3099;5172;;995;;2082;51;;49;2928;4;654;;;;;;;;;;;647
13;Stallikon;6601;4578;6987;14333;;630;;6446;152;;44;3127;60;203;;;;;;;;;;;1443
14;Wettswil am Albis;13646;6099;9058;19456;;1234;;10495;25;;127;3712;16;584;;;;;;;;;;;1648
22;Benken (ZH);1005;730;1323;5305;;173;;932;4;;20;837;14;313;;;;;;;;;;;145
23;Berg am Irchel;950;556;861;5027;;161;;893;2;;16;368;1;111;;;;;;;;;;;337
24;Buch am Irchel;1578;990;968;6477;;457;;1614;0;;40;1053;0;663;;;;;;;;;;;676
25;Dachsen;2806;2978;3821;6895;;814;;3318;4;;43;2072;38;260;;;;;;;;;;;764
26;Dorf;1049;647;1007;4455;;300;;718;42;;44;391;3;712;;;;;;;;;;;393
27;Feuerthalen;2848;3388;7671;10640;;931;;4318;91;;124;2784;26;457;;;;;;;;;;;1437
28;Flaach;1848;1020;1776;9579;;1395;;1686;4;;6;867;2;771;;;;;;;;;;;573
29;Flurlingen;3065;1354;4771;4587;;464;;2336;36;;83;2102;7;261;;;;;;;;;;;334
31;Henggart;3116;3452;4189;11379;;2044;;3851;39;;111;1980;3;1068;;;;;;;;;;;970
33;Kleinandelfingen;2627;2572;3279;11382;;1368;;2642;56;;65;2154;72;674;;;;;;;;;;;753
34;Laufen-Uhwiesen;3222;2074;2662;9012;;501;;2424;29;;10;1606;46;546;;;;;;;;;;;667
35;Marthalen;1514;2299;2979;12840;;746;;2760;2;;93;2044;6;632;;;;;;;;;;;1164
37;Ossingen;2666;2516;3328;8877;;879;;2532;1;;50;1855;12;162;;;;;;;;;;;644
